scenario,run,new_role,t_from_T0_s,switch_time_ms,A_window_end_s,B_window_start_s,B_window_end_s,source
s2_only,run-01,prefill,2.1,1049.5,55.69716811180115,44.99996733665466,72.59309267997742,controller_log
s2_only,run-01,decode,38.1,964.1,55.69716811180115,44.99996733665466,72.59309267997742,controller_log
s2_only,run-02,prefill,2.93,1135.1,45.53097176551819,44.999868631362915,67.91019463539124,controller_log
s2_only,run-02,decode,39.93,935.6,45.53097176551819,44.999868631362915,67.91019463539124,controller_log
mixed,run-01,prefill,2.49,950.5,56.5254328250885,44.999940633773804,70.08463072776794,controller_log
mixed,run-01,decode,55.49,9095.7,56.5254328250885,44.999940633773804,70.08463072776794,controller_log
