scenario,run,repeat,position,valid_decode_pct,http_5xx_count,timeout_count,T_batch_s,business_wall_s,wall_alignment_ok,s2_switch_total_ms,s3_migrated_requests,s3_release_lead_time_s,decode_gpu_s,prefill_gpu_s,avg_total_gpus
baseline_1p1d,run-01,1,,100.0,0,0,136.35497951507568,136.35683279999648,True,0,0,0.0,136.35497951507568,136.35497951507568,2.0
static_2p2d,run-01,1,,100.0,0,0,82.369788646698,82.37081789999502,True,0,0,0.0,164.739577293396,164.739577293396,4.0
static_2p2d,run-02,2,,100.0,0,0,83.37343907356262,83.37441489999765,True,0,0,0.0,166.74687814712524,166.74687814712524,4.0
s2_only,run-01,1,,100.0,0,0,84.87843036651611,84.87949099999969,True,2013.68806976825,0,0.0,169.75686073303223,169.75686073303223,3.8735491576348418
s2_only,run-02,2,,100.0,0,0,81.02868747711182,81.02958680002484,True,2070.6630405038595,0,0.0,162.05737495422363,162.05737495422363,3.890799576652606
s3_only,run-01,1,,100.0,0,0,84.522531747818,84.52352010001778,True,0,1,11.467993021011353,159.784330368042,169.045063495636,3.8904347404639466
s3_only,run-02,2,,100.0,0,0,83.02217197418213,83.02309329999844,True,0,1,10.829657316207886,158.61269736289978,165.12873935699463,3.7434282852746854
mixed,run-01,1,,100.0,0,0,89.41728520393372,89.41833140002564,True,10046.257864683867,0,14.03481125831604,167.84692811965942,178.83457040786743,3.877119482400427
