completion_tokens,content_chars,content_sha256,decode_worker_id,end_ts,error,finish_reason,http_code,kv_hit_rate,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prefill_time_ms,prefill_wait_time_ms,prefill_worker_id,prompt_tokens,server_total_time_ms,shape,start_ts,total_tokens,ttft_ms,valid_decode
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2828102,,length,200,0.0,50.46580219268799,1,1,1263,True,prefill_burst,801.423165,14.940221,2068423693594210,4401,49476.475037,long_prompt_short_output,1784771636.817008,4402,816.363386,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2902038,,length,200,0.0,50.472649812698364,2,1,1686,True,prefill_burst,994.758401,22.095249000000003,2068423693594210,5857,49488.942979,long_prompt_short_output,1784771636.817554,5858,1016.85365,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771652.8339872,,length,200,0.0,16.015819787979126,3,1,1316,True,prefill_burst,206.763004,13.872353,2068423693594210,4599,14863.55522,long_prompt_short_output,1784771636.8181674,4600,220.635357,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2860663,,length,200,0.0,50.46726989746094,4,1,1598,True,prefill_burst,591.38258,26.530620000000003,2068423693594210,5583,49504.423748,long_prompt_short_output,1784771636.8187964,5584,617.9132000000001,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2826493,,length,200,0.005277044854881266,50.46320128440857,5,1,1735,True,prefill_burst,1475.633395,17.434993,2068423693594210,6059,49134.170344,long_prompt_short_output,1784771636.819448,6060,1493.068388,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2880712,,length,200,0.0,50.467698097229004,6,1,1339,True,prefill_burst,698.274414,15.994901999999998,2068423693594210,4697,49488.473939,long_prompt_short_output,1784771636.820373,4698,714.269316,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771665.9312627,,length,200,0.0,29.110140085220337,7,1,1274,True,prefill_burst,314.652262,14.508195,2068423693594210,4440,28008.709031,long_prompt_short_output,1784771636.8211226,4441,329.160457,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2837198,,length,200,0.0,50.461856842041016,8,1,1786,True,prefill_burst,1332.644876,14.849828,2068423693594210,6238,49472.031619,long_prompt_short_output,1784771636.821863,6239,1347.494704,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2805562,,length,200,0.0,50.458181381225586,9,1,1640,True,prefill_burst,1497.733399,26.558595,2068423693594210,5714,49471.333528,long_prompt_short_output,1784771636.8223748,5715,1524.291994,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771679.381805,,length,200,0.0,42.558971643447876,10,1,1347,True,prefill_burst,423.59828,18.907874000000003,2068423693594210,4738,41393.087106000006,long_prompt_short_output,1784771636.8228333,4739,442.506154,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.4894807,,length,200,0.007042253521126761,50.66612958908081,11,1,1296,True,prefill_burst,1634.113542,17.193096,2068423693594210,4535,49138.087401,long_prompt_short_output,1784771636.8233511,4536,1651.3066379999998,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.2789514,,length,200,0.0,50.45518255233765,12,1,1631,True,prefill_burst,1145.844391,21.878318,2068423693594210,5689,49476.506799,long_prompt_short_output,1784771636.8237689,5690,1167.722709,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.4895692,,length,200,0.0057306590257879654,50.66520071029663,13,1,1596,True,prefill_burst,1298.82825,15.60896,2068423693594210,5584,49138.006115000004,long_prompt_short_output,1784771636.8243685,5585,1314.4372099999998,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8049628256034603,1784771687.271875,,length,200,0.006024096385542169,50.44530963897705,14,1,1516,True,prefill_burst,2428.7577,25.419942000000002,2068423693594210,5308,48863.201216999994,long_prompt_short_output,1784771636.8265653,5309,2454.177642,True
