active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,long_decode_probe_max_tokens,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,,,,,decode_readiness_after_switch,,,2026-07-17T21:46:18,48,,,,,,,,,,,,,,,,,,,,,,,,,1784295978.939885,,,
,,,,,,balanced_decode_start,,,2026-07-17T21:46:20,,,,,,,,,,,,,,,,,,,,,,,,,,1784295980.7210438,,,
,,2304,310.7898541596148,,,balanced_decode_done,,0,2026-07-17T21:46:28,,,,,,2.184776544570923,2.8098819255828857,2.913950204849243,,18840,2541.354536617683,3.2373943141626538,24,,,,,,24,100.0,0,,21144,2852.144390777298,,1784295988.1374333,24,100.0,7.413369417190552
,,,,,,runtime_role_gate_after_p_to_d,,,2026-07-17T21:47:01,,,,,,,,,,,,,,,,"{'ts': 1784295989.6968706, 'iso': '2026-07-17T21:46:29', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-n9zs4', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.71', 'current_role_label': 'decode', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-tq8q7', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.74', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dcsqmp', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.70', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dx5jrv', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.72', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 2, 'decode': 2, 'unknown': 0}}",,,,,,,,,,1784296021.7450364,,,
,,,,,,tail_active_window_poll_start,,,2026-07-17T21:47:01,,4.0,8,24,continuously poll /v1/active_requests for the whole tail phase; signal consolidation when a token-progress-qualified straggler exists,,,,,,,,,,,,,,,,,,,,,1784296021.7463918,,,
,,,,,,decode_tail_start,,,2026-07-17T21:47:28,,,,,,,,,,,,,,,,,,,,,,,,,,1784296048.8263192,,,
2,,,,,,tail_consolidation_signal,,,2026-07-17T21:47:43,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,reports\interleaved-5scenario-20260717-202840\mixed_strategy\run-02\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-tq8q7', 'generated_tokens': 4078, 'remaining_tokens': 3922}",,,,2,,,token_progress_straggler,1784296063.7581136,,,
1,,,,,,tail_consolidation_signal,,,2026-07-17T21:48:09,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,reports\interleaved-5scenario-20260717-202840\mixed_strategy\run-02\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-n9zs4', 'generated_tokens': 4553, 'remaining_tokens': 3447}",,,,2,,,token_progress_straggler,1784296089.5441718,,,
,,21161,511.8657256443626,,,decode_tail_done,,0,2026-07-17T21:48:10,,,,,,1.5374932289123535,31.47060465812683,33.339683055877686,,5783,139.88561464020364,0.4112148450429642,17,,,,,,17,100.0,0,,26944,651.7513402845663,,1784296090.173673,17,100.0,41.340919971466064
,,,,,,batch_complete_signal,,,2026-07-17T21:49:40,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'cool_down'}",,,,,,,,,,,,1784296180.259766,,,
