completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,297,001708647c43e599b59e27ffa9db8eb3c20c4f8a7c3b2e1bc70dd97cc35ec3a9,1784539875.0196412,,length,200,9.245237827301025,1,64,1217,True,A_prefill,4257,A_prefill,1784539865.7744033,4321,True
96,394,09a4885e47be0c73f4930eba6d2a91910aa22ebec2b83e36b9ff6dd859227b97,1784539875.4696634,,length,200,9.694918870925903,2,96,1243,True,A_prefill,4336,A_prefill,1784539865.7747445,4432,True
128,477,73f0870ec1267fd1deb04a07ed9d87a9cb025787b69f09ef72aabbb71601568d,1784539875.4541266,,length,200,9.679076194763184,3,128,1236,True,A_prefill,4317,A_prefill,1784539865.7750504,4445,True
128,533,801bacf86cfc34c405f0442e1b000bf2c39b24969649aac7d7252f82fb7dc847,1784539875.7741406,,length,200,9.998186588287354,4,128,1083,True,A_prefill,3774,A_prefill,1784539865.775954,3902,True
64,234,9c21cfa13475a1470a8febc3040947a5e886335daf90dbd0528ef410ed700b8b,1784539875.1808293,,length,200,9.404137372970581,5,64,1228,True,A_prefill,4294,A_prefill,1784539865.776692,4358,True
96,442,85cf8ded2f99ac424c54b80a14d96ab197e768501e1f193ff282fa5e4b9c7d5f,1784539875.3673847,,length,200,9.589930534362793,6,96,1137,True,A_prefill,3993,A_prefill,1784539865.7774541,4089,True
128,606,4e7e6a38e4d658ee327e08ba3c2268afa8fab21096fd645eb85e660ec24dbf03,1784539875.4542177,,length,200,9.676325798034668,7,128,1116,True,A_prefill,3912,A_prefill,1784539865.7778919,4040,True
128,596,5206faca7e2cfac81abf28360dbc8e33b616cc52375c191d662ff7fae4bfd044,1784539875.7145114,,length,200,9.936197996139526,8,128,1069,True,A_prefill,3734,A_prefill,1784539865.7783134,3862,True
64,250,c95373d706694eb164c05ac65dca95f884b043bf50518914f7b43c41d7070737,1784539875.166081,,length,200,9.387278079986572,9,64,1275,True,A_prefill,4441,A_prefill,1784539865.7788029,4505,True
64,250,c95373d706694eb164c05ac65dca95f884b043bf50518914f7b43c41d7070737,1784539875.1555195,,length,200,9.376126050949097,10,64,1256,True,A_prefill,4384,A_prefill,1784539865.7793934,4448,True
