client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,success,success_pct,timeout_count,total_tokens,total_tps,ts,valid_decode,valid_decode_pct,wall_s
,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'false', 'CONSOLIDATION_ENABLED': 'false', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'false', 'RLS_TEST_RUN_ID': '2p2d_static-run-2-1784294132'}",controller_configured,,,2026-07-17T21:15:48,,,,,,,,,,,2p2d_static,,,,,,1784294148.1069412,,,
,,,,,initial_1p1d_ready,,,2026-07-17T21:16:00,,,,,,,,,,,,,,,,,1784294160.81423,,,
1784294171.6549869,,,,,T_signal_recv,,,2026-07-17T21:16:13,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",2p2d_static,,,,,,1784294173.1746259,,,
,,,,,T_warmup_start,,,2026-07-17T21:16:13,,,,,,,,,,,2p2d_static,,,,,,1784294173.175294,,,
,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T21:17:43,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,1784294263.6223168,,,
,,,2,,T_ready,,,2026-07-17T21:19:26,,,,,2,,,,,,2p2d_static,,,,,,1784294366.190622,,,
,,,,,T_burst_arrival,,,2026-07-17T21:19:26,,,,,,,,,,,2p2d_static,,,,,,1784294366.1930718,,,
,,,,,prefill_burst_start,,,2026-07-17T21:19:27,,,,,,,,,,,,,,,,,1784294367.7548165,,,
,256,12.077104783198656,,,prefill_burst_done,,0,2026-07-17T21:19:48,,3.670980215072632,5.631399631500244,6.037612676620483,,94288,4448.148655461855,3.019276195799664,64,,,64,100.0,0,94544,4460.225760245054,1784294388.9571087,64,100.0,21.1971333026886
,,,,,balanced_decode_start,,,2026-07-17T21:19:52,,,,,,,,,,,,,,,,,1784294392.0154338,,,
,2304,332.1296352521221,,,balanced_decode_done,,0,2026-07-17T21:19:58,,2.045682191848755,2.704537868499756,2.7050065994262695,,18912,2726.230756027836,3.459683700542939,24,,,24,100.0,0,21216,3058.360391279958,1784294398.9554553,24,100.0,6.9370503425598145
,,,,,decode_tail_start,,,2026-07-17T21:20:02,,,,,,,,,,,,,,,,,1784294402.0585535,,,
,24320,592.3530183456114,,,decode_tail_done,,0,2026-07-17T21:20:43,,1.8262691497802734,30.51475429534912,33.05586767196655,,5834,142.09652586465035,0.4140625539422448,17,,,17,100.0,0,30154,734.4495442102617,1784294443.1183252,17,100.0,41.0565984249115
