completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,293,cf80ecb4870b72f3d1422ec08dc4081e0550302e288f80056b92d6118d633d44,1784538057.9910455,,length,200,34.67397212982178,1,64,1217,True,A_prefill,4260,A_prefill,1784538023.3170733,4324,True
96,414,0dae53999d37de17b5b037648e1dacaf79f721615cc7424347d80824b9e21ae2,1784538060.6556027,,length,200,37.338184118270874,2,96,1243,True,A_prefill,4339,A_prefill,1784538023.3174186,4435,True
128,622,c7eab19d76317bb9301daba297863c938aca66edc8d7d0b6b6615b8261a2d5e2,1784538058.8895936,,length,200,35.571816205978394,3,128,1236,True,A_prefill,4320,A_prefill,1784538023.3177774,4448,True
128,606,92e47d75d3d7c95f1e44bc15d2eeb0879235dbc738d7e5e1c49c0d68ae6b8411,1784538028.492221,,length,200,5.173648357391357,4,128,1083,True,A_prefill,3777,A_prefill,1784538023.3185728,3905,True
64,299,3757594940d4b2211a76ebdec123b3cec5a3d0f49c82b958f4da1bc7f114146b,1784538057.9909754,,length,200,34.67122149467468,5,64,1228,True,A_prefill,4297,A_prefill,1784538023.319754,4361,True
96,438,cfc9681afd912325f578f341537d898ef03884facd4a456e33b8d2afcc2d40ee,1784538060.6549494,,length,200,37.33461332321167,6,96,1137,True,A_prefill,3996,A_prefill,1784538023.320336,4092,True
128,586,9569b94b17f485f1e8b6732aeb7f2664c41dd886c58d0a606e465f202a91901d,1784538028.4920928,,length,200,5.171100378036499,7,128,1116,True,A_prefill,3915,A_prefill,1784538023.3209925,4043,True
128,587,dff5d42f38b8ec4d72d9565d4ddc8cdff25fdd542ac98197501a6c07208f4e13,1784538058.8891866,,length,200,35.567692041397095,8,128,1069,True,A_prefill,3737,A_prefill,1784538023.3214946,3865,True
64,295,817540f5385eecfc439dde513e3f53c8a7a1968d038124152417cb4ae521e7e9,1784538060.581554,,length,200,37.259692668914795,9,64,1275,True,A_prefill,4444,A_prefill,1784538023.3218613,4508,True
64,283,6235d0045e547dde31f2afb578bb212b8fcf642dfcd717a928ab0c1f9c01b66f,1784538057.964051,,length,200,34.64157176017761,10,64,1256,True,A_prefill,4387,A_prefill,1784538023.3224792,4451,True
128,606,92e47d75d3d7c95f1e44bc15d2eeb0879235dbc738d7e5e1c49c0d68ae6b8411,1784538058.897988,,length,200,35.574909687042236,11,128,1285,True,A_prefill,4489,A_prefill,1784538023.3230784,4617,True
96,456,4fd956e82582a31e5f1feb65203500cd7dde7058b406c6e801b70359f055294f,1784538058.5149832,,length,200,35.191190004348755,12,96,1243,True,A_prefill,4348,A_prefill,1784538023.3237932,4444,True
64,286,eff1646d4f34a8e5cbfb92ba05781ee2ad5adcece491699315599127476dee83,1784538060.3625584,,length,200,37.03839349746704,13,64,1170,True,A_prefill,4138,A_prefill,1784538023.3241649,4202,True
64,265,84a62071d233f5edcd1cbe49d8d5f55dd483e38bbfb47775d90b614dfb18a853,1784538060.361064,,length,200,37.03633904457092,14,64,1130,True,A_prefill,3981,A_prefill,1784538023.324725,4045,True
64,285,ef87229cbdc0213bcc8202932ac11d58f9be4089abbb43efb94a664b78ff007e,1784538060.3611321,,length,200,37.036014556884766,15,64,1073,True,A_prefill,3754,A_prefill,1784538023.3251176,3818,True
96,445,0610bcab584c381637db68b2a03d11c0b04379ab657086011d56b0597bcff930,1784538060.656551,,length,200,37.3309223651886,16,96,1324,True,A_prefill,4649,A_prefill,1784538023.3256285,4745,True
96,438,cfc9681afd912325f578f341537d898ef03884facd4a456e33b8d2afcc2d40ee,1784538058.5152423,,length,200,35.189189195632935,17,96,1160,True,A_prefill,4104,A_prefill,1784538023.3260531,4200,True
64,281,68c88160b3c0081cfb6879c21d654033b300896bf0f31b6b5667ed5a5bf796c3,1784538058.5213315,,length,200,35.19482111930847,18,64,1218,True,A_prefill,4273,A_prefill,1784538023.3265104,4337,True
96,445,0610bcab584c381637db68b2a03d11c0b04379ab657086011d56b0597bcff930,1784538060.6553152,,length,200,37.32818818092346,19,96,1335,True,A_prefill,4696,A_prefill,1784538023.327127,4792,True
128,606,d18b617b7243d5b750ad8498227586738feedeba4fd74c68ef47809ac6cf9de6,1784538058.889985,,length,200,35.56199908256531,20,128,1260,True,A_prefill,4400,A_prefill,1784538023.327986,4528,True
128,611,94f3143212948a8cf8059c5dc12018272347def2895e2c2944f61b1f34f3973a,1784538059.1841493,,length,200,35.855557441711426,21,128,1311,True,A_prefill,4603,A_prefill,1784538023.3285918,4731,True
128,605,60148949114cf8647cafe6c76d819b29db554d2aed2e775793ee0be31218fa0d,1784538059.1842532,,length,200,35.85525035858154,22,128,1088,True,A_prefill,3822,A_prefill,1784538023.3290029,3950,True
64,291,0305349b3ce8dc52b5de5af478896e786551355c47e6af909e5e1c50eb530a5e,1784538060.3609161,,length,200,37.03130865097046,23,64,1111,True,A_prefill,3914,A_prefill,1784538023.3296075,3978,True
96,431,f1389331fee38e782f923944e8840dbda92bc608de81eab25b74f90b4bec9a8f,1784538060.71077,,length,200,37.38064503669739,24,96,1126,True,A_prefill,3975,A_prefill,1784538023.3301249,4071,True
64,244,2c2c56ba8a8b9bb89f495dd8e9bdc2e2e104a15ac3bf0b70a7b48829c67d7833,1784538060.3626258,,length,200,37.03202271461487,25,64,1328,True,A_prefill,4674,A_prefill,1784538023.3306031,4738,True
64,270,38c64cc8ee481679c2a8b5523d0e9a33026c38194301a315e7bebde1c3dcd761,1784538058.809691,,length,200,35.47861075401306,26,64,1349,True,A_prefill,4759,A_prefill,1784538023.3310802,4823,True
128,597,cf4d42789a0dc161c149382d656f3eee2665b483c6d5dfa19b78ed25403f485b,1784538059.1051018,,length,200,35.773496866226196,27,128,1159,True,A_prefill,4103,A_prefill,1784538023.331605,4231,True
128,589,7ad45e452d36ed4444989e9b59f7676fd6be087bfe4bed2af3aeef70e4968211,1784538030.9675443,,length,200,7.635469675064087,28,128,1108,True,A_prefill,3908,A_prefill,1784538023.3320746,4036,True
64,284,7601329de23887ef7dee9bc8f84a99fd6d4ed13e77c15ee12c707ca68ec6336a,1784538058.2199001,,length,200,34.88730716705322,29,64,1260,True,A_prefill,4406,A_prefill,1784538023.332593,4470,True
128,590,32cd509d273095872a415a7260692ec5c1ed4a8a84f4dee214a4410b836a0cf0,1784538060.8764393,,length,200,37.54344201087952,30,128,1328,True,A_prefill,4680,A_prefill,1784538023.3329973,4808,True
96,426,68a2c2c4238d79902ba43cdd3a4f1c92057ef25eea1688f65ba3551478c3539a,1784538060.6569302,,length,200,37.32352352142334,31,96,1148,True,A_prefill,4070,A_prefill,1784538023.3334067,4166,True
96,431,f1389331fee38e782f923944e8840dbda92bc608de81eab25b74f90b4bec9a8f,1784538060.657442,,length,200,37.323596477508545,32,96,1143,True,A_prefill,4051,A_prefill,1784538023.3338456,4147,True
522,2421,dff4b5a2338a8f59302f9ba3cfccba409b885e1a6fae759405c5c1dc35d5ddf6,1784538061.1717596,,stop,200,15.852810144424438,33,1200,429,True,B_decode,1558,B_decode,1784538045.3189495,2080,True
591,2699,1f40dc78d72cf6d900a613e017fde01ffbbf4ed91e21ee511558a1dd9ae99859,1784538061.7607858,,stop,200,16.443502187728882,34,1200,354,True,B_decode,1337,B_decode,1784538045.3172836,1928,True
787,3609,c1b1bd83d7afb9df38bf951f673c3665b99ccfc046e31a6636090590f2a2c756,1784538062.3133154,,stop,200,16.996302604675293,35,1200,425,True,B_decode,1546,B_decode,1784538045.3170128,2333,True
734,3657,783a4750346c799ce489b219b33cc3f03164c6f5e25279487331648978eae297,1784538057.311752,,stop,200,11.987471103668213,36,1200,356,True,B_decode,1347,B_decode,1784538045.324281,2081,True
881,4253,35fb2db8136a1745597e88beef8c7d6d216a2817730c87d10f5f48af0ad12339,1784538063.6786573,,stop,200,18.357611417770386,37,1200,447,True,B_decode,1612,B_decode,1784538045.3210459,2493,True
756,3626,6b1c74422ad7555f23fb76e72f83657ca96942dcc75f7cf4575717aaff0bc7ac,1784538062.2855055,,stop,200,16.962106227874756,38,1200,546,True,B_decode,1999,B_decode,1784538045.3233993,2755,True
770,3635,1b85c5a6cd22dd951bf39703da01fdf88a386c7f0aefe136ac93394920e765f8,1784538057.3278906,,stop,200,12.01041316986084,39,1200,437,True,B_decode,1582,B_decode,1784538045.3174775,2352,True
657,3177,8c94f519a340f2f7756c367c89da42131cc7d5ec03a7dad3eb1e903e6cc8f29c,1784538056.78533,,stop,200,11.465489864349365,40,1200,483,True,B_decode,1749,B_decode,1784538045.3198402,2406,True
835,3709,5d871c703f5185dc5ef0d1344c232e31259007633f85d79aceb8acee8f1e8e21,1784538063.5298798,,stop,200,18.209328413009644,41,1200,352,True,B_decode,1336,B_decode,1784538045.3205514,2171,True
768,3610,ab39a2604ee9d71ee45123f2de7f56528026fcfa73a4617a536a5d8be36196fd,1784538063.4901195,,stop,200,18.17236304283142,42,1200,507,True,B_decode,1847,B_decode,1784538045.3177564,2615,True
1190,5582,cd19c321c31ade16478ea02c48a7781a00a574587769cc384f2e1737f1bdc457,1784538058.8892832,,stop,200,13.569947004318237,43,1200,402,True,B_decode,1477,B_decode,1784538045.3193362,2667,True
463,2258,c173e0a60aad66462a928b74e55e158a2cb46c8216859766f21653e8b283e5ce,1784538060.7943144,,stop,200,15.475692510604858,44,1200,419,True,B_decode,1528,B_decode,1784538045.3186219,1991,True
665,3292,5bc79023ce92513e8093dfe245a781d6a77b067b53fbd88552aa0ba9171a56e0,1784538057.0335586,,stop,200,11.711991310119629,45,1200,422,True,B_decode,1537,B_decode,1784538045.3215673,2202,True
620,2863,e5512ce519ffdbef1d1bf7ec8b6f1ce4f6927f8f7d68027d6eae2bda9d672a4b,1784538062.0549774,,stop,200,16.736948013305664,46,1200,537,True,B_decode,1971,B_decode,1784538045.3180294,2591,True
810,3892,89df78c13d0b6f9ec9ba2020d9a3a1462873e433cdda015efc9ec88da43ef352,1784538057.5892394,,stop,200,12.265413045883179,47,1200,369,True,B_decode,1378,B_decode,1784538045.3238263,2188,True
435,2114,f4ff61e31339ccab5e1d96f4f94468376d0ad17664825f4c5a3c2b888c8967f2,1784538060.655041,,stop,200,15.334256172180176,48,1200,475,True,B_decode,1725,B_decode,1784538045.3207848,2160,True
797,3537,ac696462de1fb856758a09653d68dd32181fdb06471ff9f93bd7dcb3ad44e00f,1784538062.3495238,,stop,200,17.028278350830078,49,1200,391,True,B_decode,1444,B_decode,1784538045.3212454,2241,True
1006,4950,e55455c595fcbdc8da64f068da25f94249a2b0b771b1390a6b106ec41b7ec760,1784538058.323211,,stop,200,13.001149654388428,50,1200,532,True,B_decode,1955,B_decode,1784538045.3220613,2961,True
754,3606,4bb9cb0419f90c601fcc2fc51f0e5c6ffd290e5734ed95e05a5f5236a6fb0a1d,1784538063.2349207,,stop,200,17.912495613098145,51,1200,352,True,B_decode,1328,B_decode,1784538045.3224251,2082,True
1012,4660,0309d5eda26f63995f9090e6fa233ff8b1c09c609fb5adf5cbbf2eb86acb57e5,1784538058.4526982,,stop,200,13.135938882827759,52,1200,508,True,B_decode,1861,B_decode,1784538045.3167593,2873,True
539,2710,147dbc14f2bc358da08389a753b027a14540e36852458592b7fa6b415cf0aa2c,1784538056.14128,,stop,200,10.81951355934143,53,1200,506,True,B_decode,1854,B_decode,1784538045.3217664,2393,True
739,3277,ec12a49f9f96a03a7e755e71ec7d53ed5c6bcbf831365368de318f9060c71949,1784538062.124023,,stop,200,16.799980878829956,54,1200,512,True,B_decode,1879,B_decode,1784538045.324042,2618,True
832,3798,dfff6618f022488a915ccf7da0a4bde49c2626c866421d1a1044b869ad013b20,1784538057.6176522,,stop,200,12.29451060295105,55,1200,405,True,B_decode,1486,B_decode,1784538045.3231416,2318,True
587,2913,93205c30ecc8ca1043570a6d9b8039985ca4b3949a5a370716efeb487f518729,1784538061.4659736,,stop,200,16.143171072006226,56,1200,403,True,B_decode,1480,B_decode,1784538045.3228025,2067,True
6000,26287,77929acc81f17896abeee197f3d8094fc5f56e6217340277a765eef0ae9accbe,1784538083.124818,,length,200,19.809443712234497,57,6000,58,True,C_tail,286,C_tail,1784538063.3153744,6286,True
6000,28322,b0f3ed6619bd975d8ce83f645da32873441e8bf320084ddc2dd121e44082c6ed,1784538088.7916064,,length,200,22.47692108154297,58,6000,56,True,C_tail,279,C_tail,1784538066.3146853,6279,True
6000,28593,77f5bc17f942e979983260752ceec83225b10671d05392c50cfc68d325cb9b2c,1784538092.9733393,,length,200,23.658629894256592,59,6000,61,True,C_tail,300,C_tail,1784538069.3147094,6300,True
