active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,long_decode_probe_max_tokens,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'true', 'CONSOLIDATION_ENABLED': 'true', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'true', 'PREFILL_QUEUE_THRESHOLD': '1', 'DECODE_QUEUE_THRESHOLD': '2', 'DECODE_IDLE_THRESHOLD': '0.30', 'PREFILL_IDLE_THRESHOLD': '0.30', 'MIN_SWITCH_INTERVAL': '60', 'ROLE_SWITCH_VERIFY_TIMEOUT': '60', 'ROLE_SWITCH_VERIFY_POLL_INTERVAL': '1', 'CONSOLIDATION_THRESHOLD': '1', 'CONSOLIDATION_STABLE_SAMPLES': '1', 'CONSOLIDATION_MIN_INTERVAL': '4', 'MIN_BATCH_COMPLETION': '0.92', 'PER_REQUEST_MIGRATION_OVERHEAD': '0.10', 'RLS_TEST_RUN_ID': 'mixed_strategy-run-3-1784297961'}",controller_configured,,,2026-07-17T22:19:37,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784297977.5550518,,,
,,,,,,initial_1p1d_ready,,,2026-07-17T22:22:06,,,,,,,,,,,,,,,,,,,,,,,,,,1784298126.457859,,,
,1784298138.7341316,,,,,T_signal_recv,,,2026-07-17T22:22:20,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",mixed_strategy,,,,,,,,,,,1784298140.4595242,,,
,,,,,,T_warmup_start,,,2026-07-17T22:22:20,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784298140.460552,,,
,,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T22:23:51,,,,,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,,,,,,1784298231.8258657,,,
,,,,2,,T_ready,,,2026-07-17T22:25:32,,,,,,,,,2,,,,,,mixed_strategy,,,,,,,,,,,1784298332.082507,,,
,,,,,,T_burst_arrival,,,2026-07-17T22:25:32,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784298332.083555,,,
,,,,,,prefill_pressure_signal,,,2026-07-17T22:25:34,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,,,,,1784298334.2213695,,,
,,,,,,runtime_role_gate_after_d_to_p,,,2026-07-17T22:26:06,,,,,,,,,,,,,,,,"{'ts': 1784298334.2236748, 'iso': '2026-07-17T22:25:34', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-2g2zb', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.97', 'current_role_label': 'prefill', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7xmmg', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.95', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dj562p', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.94', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dndwr5', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.96', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 3, 'decode': 1, 'unknown': 0}}",,,,,,,,,,1784298366.0746443,,,
,,,,,,prefill_burst_start,,,2026-07-17T22:26:07,,,,,,,,,,,,,,,,,,,,,,,,,,1784298367.9112568,,,
