active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'false', 'CONSOLIDATION_ENABLED': 'true', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'true', 'CONSOLIDATION_THRESHOLD': '1', 'CONSOLIDATION_STABLE_SAMPLES': '1', 'CONSOLIDATION_MIN_INTERVAL': '4', 'MIN_BATCH_COMPLETION': '0.92', 'PER_REQUEST_MIGRATION_OVERHEAD': '0.10', 'RLS_TEST_RUN_ID': 's3_only-run-3-1784297524'}",controller_configured,,,2026-07-17T22:12:19,,,,,,,,,,,,,,s3_only,,,,,,,,,,1784297539.6823103,,,
,,,,,,initial_1p1d_ready,,,2026-07-17T22:12:32,,,,,,,,,,,,,,,,,,,,,,,,1784297552.49629,,,
,1784297564.3245776,,,,,T_signal_recv,,,2026-07-17T22:12:45,,,,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",s3_only,,,,,,,,,,1784297565.8829467,,,
,,,,,,T_warmup_start,,,2026-07-17T22:12:45,,,,,,,,,,,,,,s3_only,,,,,,,,,,1784297565.885251,,,
,,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T22:14:16,,,,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,,,,,1784297656.2410777,,,
,,,,2,,T_ready,,,2026-07-17T22:15:57,,,,,,,,2,,,,,,s3_only,,,,,,,,,,1784297757.1806133,,,
,,,,,,T_burst_arrival,,,2026-07-17T22:15:57,,,,,,,,,,,,,,s3_only,,,,,,,,,,1784297757.1820183,,,
,,,,,,prefill_burst_start,,,2026-07-17T22:15:58,,,,,,,,,,,,,,,,,,,,,,,,1784297758.8147886,,,
,,256,11.255748733337317,,,prefill_burst_done,,0,2026-07-17T22:16:21,,,,,3.4300553798675537,9.772518634796143,10.802594423294067,,94160,4140.005080980632,2.813937183334329,64,,,,,64,100.0,0,,94416,4151.260829713969,,1784297781.5638745,64,100.0,22.74393343925476
,,,,,,balanced_decode_start,,,2026-07-17T22:16:25,,,,,,,,,,,,,,,,,,,,,,,,1784297785.126262,,,
,,2304,307.90708274046864,,,balanced_decode_done,,0,2026-07-17T22:16:32,,,,,2.128033399581909,3.142854690551758,3.143383026123047,,18864,2520.9892399375867,3.207365445213215,24,,,,,24,100.0,0,,21168,2828.8963226780556,,1784297792.6155818,24,100.0,7.482776880264282
,,,,,,tail_active_window_poll_start,,,2026-07-17T22:16:34,4.0,8,24,continuously poll /v1/active_requests for the whole tail phase; signal consolidation when a token-progress-qualified straggler exists,,,,,,,,,,,,,,,,,,,,1784297794.1350996,,,
,,,,,,decode_tail_start,,,2026-07-17T22:16:35,,,,,,,,,,,,,,,,,,,,,,,,1784297795.6698039,,,
2,,,,,,tail_consolidation_signal,,,2026-07-17T22:16:55,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,reports\interleaved-5scenario-20260717-202840\s3_only\run-03\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-cb9jj', 'generated_tokens': 1048, 'remaining_tokens': 6952}",,,,3,,,token_progress_straggler,1784297815.1196294,,,
,,21278,525.7819925559935,,,decode_tail_done,,0,2026-07-17T22:17:16,,,,,1.5428392887115479,29.808632135391235,32.467681884765625,,5800,143.31871213576287,0.42007208729447737,17,,,,,17,100.0,0,,27078,669.1007046917564,,1784297836.1453393,17,100.0,40.46924448013306
,,,,,,batch_complete_signal,,,2026-07-17T22:18:57,,,,,,,,,,,,,"{'status': 'ok', 'state': 'cool_down'}",,,,,,,,,,,1784297937.383104,,,
